title,logo,urlField,dbtaCertified,dbtAdherentTeam,specialties,credentials,locations,locationCount
Addictions and Stress Clinic dba ASC Psychological Services,addictions_and_stress_clinic_dba_asc_psychological.png,https://www.ascpsychological.com/contact-us/,false,false,"[""Trauma"", ""Grief"", ""Addiction"", ""Behavioral issues"", ""Post-traumatic stress""]","[""PhD"", ""LP"", ""LICSW"", ""Mental Health Practitioner"", ""LADC"", ""MSW"", ""LMFT"", ""LPCC"", ""PsyD"", ""LGSW""]","[{""address"": ""12 Civic Center Plaza, #615"", ""fullAddress"": ""12 Civic Center Plaza, #615, Mankato, MN, 56001"", ""city"": ""Mankato"", ""state"": ""MN"", ""zip"": ""56001"", ""website"": ""https://www.ascpsychological.com/contact-us/"", ""email"": """", ""phone"": ""(507) 345-4679"", ""availability"": """"}, {""address"": ""2277 Highway 36, # 150 & # 155"", ""fullAddress"": ""2277 Highway 36, # 150 & # 155, Roseville, MN, 55113"", ""city"": ""Roseville"", ""state"": ""MN"", ""zip"": ""55113"", ""website"": ""https://www.ascpsychological.com/contact-us/"", ""email"": """", ""phone"": ""(507) 345-4679"", ""availability"": """"}]",2
"Advanced Behavioral Health, Inc",,http://www.abhtherapy.com/,false,false,[],[],"[{""address"": ""6160 Summit Dr N, Ste 375"", ""fullAddress"": ""6160 Summit Dr N, Ste 375, Brooklyn Center, MN, 55430"", ""city"": ""Brooklyn Center"", ""state"": ""MN"", ""zip"": ""55430"", ""website"": ""http://www.abhtherapy.com/"", ""email"": """", ""phone"": ""763-560-8331"", ""availability"": """"}]",1
Align Your Soul Counseling,,http://www.alignyoursoulcounseling.com/,true,false,"[""Trauma"", ""Anxiety"", ""Depression"", ""BIPOC"", ""LGBTQIA2S+""]","[""MS"", ""LPCC DBT-Linehan Board of Certification"", ""Certified Clinician™""]","[{""address"": ""Ironwood Square Building, 300 3rd Ave, Suite 302"", ""fullAddress"": ""Ironwood Square Building, 300 3rd Ave, Suite 302, Rochester, MN, 55904"", ""city"": ""Rochester"", ""state"": ""MN"", ""zip"": ""55904"", ""website"": ""http://www.alignyoursoulcounseling.com/"", ""email"": """", ""phone"": ""507-703-6377"", ""availability"": """"}]",1
"Art of Counseling, PLLC",,https://artofcounselingstpaul.com/,true,false,[],"[""Admin"", ""MA"", ""LMFT"", ""ATR"", ""BS"", ""MSW"", ""LICSW"", ""PsyD"", ""LP""]","[{""address"": ""275 4th St East, Suite 301"", ""fullAddress"": ""275 4th St East, Suite 301, St. Paul, MN, 55101"", ""city"": ""St. Paul"", ""state"": ""MN"", ""zip"": ""55101"", ""website"": ""https://artofcounselingstpaul.com/"", ""email"": """", ""phone"": ""(651) 318-0109"", ""availability"": """"}]",1
Art of Validation and Change,art_of_validation_and_change.jpg,https://kristenlund.com/,false,false,"[""Anxiety"", ""ADHD"", ""Bi-polar disorder"", ""Depression"", ""Trauma"", ""PTSD"", ""Personality Disorders"", ""Self-harm"", ""Suicidality"", ""Grief"", ""Substance use"", ""Life transitions"", ""Parenting"", ""Intimacy struggles"", ""Body positivity"", ""Queer and nonbinary folks""]","[""MSW"", ""LICSW"", ""MA"", ""LPCC"", ""LGSW""]","[{""address"": ""790 Cleveland Avenue S, Suite 211"", ""fullAddress"": ""790 Cleveland Avenue S, Suite 211, St. Paul, MN, 55116"", ""city"": ""St. Paul"", ""state"": ""MN"", ""zip"": ""55116"", ""website"": ""https://kristenlund.com/"", ""email"": ""avc@kristenlund.com"", ""phone"": ""612-245-4683"", ""availability"": """"}]",1
Associated Clinic of Psychology (ACP DBT),associated_clinic_of_psychology__acp_dbt.png,http://acp-mn.com/,true,false,"[""DBT"", ""Trauma"", ""Anxiety"", ""BPD"", ""Eating Disorders""]","[""PhD"", ""LP"", ""LMFT"", ""LADC"", ""MD"", ""MSW"", ""LICSW"", ""MA"", ""LPCC""]","[{""address"": ""4027 County Road 25"", ""fullAddress"": ""4027 County Road 25, Minneapolis, MN, 55416"", ""city"": ""Minneapolis"", ""state"": ""MN"", ""zip"": ""55416"", ""website"": ""http://acp-mn.com/"", ""email"": """", ""phone"": ""612-925-6033"", ""availability"": ""true""}, {""address"": ""6950 W 146th St, Suite 100"", ""fullAddress"": ""6950 W 146th St, Suite 100, Apple Valley, MN, 55124"", ""city"": ""Apple Valley"", ""state"": ""MN"", ""zip"": ""55124"", ""website"": ""http://acp-mn.com/"", ""email"": """", ""phone"": ""612-925-6033"", ""availability"": ""true""}, {""address"": ""149 Thompson Ave E, Suite 150"", ""fullAddress"": ""149 Thompson Ave E, Suite 150, W. St. Paul, MN, 55118"", ""city"": ""W. St. Paul"", ""state"": ""MN"", ""zip"": ""55118"", ""website"": ""http://acp-mn.com/"", ""email"": """", ""phone"": ""612-925-6033"", ""availability"": ""true""}]",3
Autonomy Counseling,autonomy_counseling.jpg,https://www.autonomycounseling.com/,false,false,[],"[""Psychiatric-Mental Health Nurse Practitioner (PMHNP)"", ""Clinical Therapist Intern"", ""Outpatient Behavioral Health Therapist"", ""Licensed Professional Clinical Counselor (LPCC)"", ""Clinic Director"", ""Office Manager"", ""Office Assistant""]","[{""address"": ""800 Holiday Dr, Suite 170"", ""fullAddress"": ""800 Holiday Dr, Suite 170, Moorhead, MN, 56560"", ""city"": ""Moorhead"", ""state"": ""MN"", ""zip"": ""56560"", ""website"": ""https://www.autonomycounseling.com/"", ""email"": ""autonomypllc@gmail.com"", ""phone"": ""218-979-3828"", ""availability"": """"}]",1
Behavioral Health Advocate,behavioral_health_advocate.png,https://www.bhadvocate.com/,true,false,"[""Brainspotting"", ""Trauma"", ""Anxiety"", ""BPD"", ""Eating Disorders"", ""Grief and Loss"", ""Hoarding"", ""Cancer""]","[""Treatment Director"", ""MSW LICSW"", ""MSW LICSW CPRP"", ""LICSW"", ""Administrator"", ""Office Manager""]","[{""address"": ""130 Park Ave S, Ste 3"", ""fullAddress"": ""130 Park Ave S, Ste 3, St. Cloud, MN, 56301"", ""city"": ""St. Cloud"", ""state"": ""MN"", ""zip"": ""56301"", ""website"": ""https://www.bhadvocate.com/"", ""email"": ""info@bhadvocate.com"", ""phone"": ""(320) 251-4571"", ""availability"": ""true""}]",1
Choices Psychotherapy Ltd,,https://choicespsychotherapy.net/services/dbt/,false,false,"[""Anxiety"", ""Depression"", ""Emotional dysregulation"", ""PTSD"", ""Eating disorders"", ""Impulse control challenges"", ""Self-harm behaviors"", ""Relationship struggles"", ""Trauma"", ""Bipolar Disorder""]","[""MS"", ""LICSW"", ""MA"", ""LMFT""]","[{""address"": ""10201 Wayzata Boulevard, Suite 100, Minnetonka, MN, 55305"", ""fullAddress"": ""10201 Wayzata Boulevard, Suite 100, Minnetonka, MN, 55305"", ""city"": ""Minnetonka"", ""state"": ""MN"", ""zip"": ""10201"", ""website"": ""https://choicespsychotherapy.net/services/dbt/"", ""email"": """", ""phone"": ""952-544-6806"", ""availability"": ""true""}, {""address"": ""7901 Xerxes Ave S, Suite 225"", ""fullAddress"": ""7901 Xerxes Ave S, Suite 225, Bloomington, MN, 55431"", ""city"": ""Bloomington"", ""state"": ""MN"", ""zip"": ""55431"", ""website"": ""https://choicespsychotherapy.net/services/dbt/"", ""email"": """", ""phone"": ""952-544-6806"", ""availability"": ""true""}, {""address"": ""7975 Stone Creek Dr, Suite 130"", ""fullAddress"": ""7975 Stone Creek Dr, Suite 130, Chanhassen, MN, 55317"", ""city"": ""Chanhassen"", ""state"": ""MN"", ""zip"": ""55317"", ""website"": ""https://choicespsychotherapy.net/services/dbt/"", ""email"": """", ""phone"": ""952-544-6806"", ""availability"": ""true""}]",3
DBT-PTSD & EMDR Specialist,,http://www.dbtemdr.com/home,false,false,[],[],"[{""address"": ""10000 Hwy 55, Suite 300, Plymouth, MN, 55441"", ""fullAddress"": ""10000 Hwy 55, Suite 300, Plymouth, MN, 55441"", ""city"": ""Plymouth"", ""state"": ""MN"", ""zip"": ""10000"", ""website"": ""http://www.dbtemdr.com/home"", ""email"": """", ""phone"": ""763-412-0722"", ""availability"": """"}]",1
